TeamKey,RankingPoints,Wins,Losses,Ties,ClimbPoints,AutoPoints,OwnershipPoints,VaultPoints
frc5298,6.0,2.0,10.0,0.0,350.0,176.0,1699.0,210.0
frc1577,32.0,8.0,3.0,0.0,830.0,355.0,2510.0,385.0
frc5291,31.0,9.0,2.0,0.0,600.0,391.0,2577.0,385.0
frc5554,31.0,10.0,1.0,0.0,620.0,466.0,2955.0,390.0
frc2231,29.0,10.0,0.0,1.0,435.0,425.0,2936.0,270.0
frc3316,28.0,7.0,3.0,1.0,585.0,415.0,2722.0,320.0
frc1574,27.0,9.0,2.0,0.0,740.0,371.0,2821.0,375.0
frc3339,26.0,7.0,4.0,0.0,695.0,400.0,2567.0,340.0
frc1690,26.0,9.0,2.0,0.0,590.0,406.0,2755.0,335.0
frc2630,24.0,6.0,4.0,1.0,675.0,373.0,2600.0,325.0
